,year,ch4
984,-238987,610.9
985,-238810,615.7
986,-238720,616.0
987,-238628,609.2
988,-238440,599.0
989,-238353,605.6666667
990,-238262,600.7
991,-238076,591.8
992,-237984,597.0
993,-237885,594.15
994,-237711,562.3
995,-237624,577.3333333
996,-237540,566.1
997,-237318,563.8
998,-237203,578.6666667
999,-237098,564.5
1000,-236998,559.15
1001,-236897,549.0
1002,-236803,587.6666667
1003,-236690,549.2
1004,-236464,549.7
1005,-236368,566.0
1006,-236158,553.7
1007,-236030,557.1
1008,-235924,565.0
1009,-235815,539.0
1010,-235482,547.65
1011,-235359,545.1
1012,-235158,543.1
1013,-235041,554.0
1014,-234911,529.3
1015,-234661,518.4
1016,-234439,511.9
1017,-234150,481.15
1018,-233969,508.15
1019,-233742,498.8
1020,-233477,478.2
1021,-233128,461.9
1022,-232987,519.2333333
1023,-232731,452.5
1024,-232480,433.4
1025,-232199,425.5
1026,-231924,429.9
1027,-231642,456.8
1028,-231377,429.2
1029,-231102,419.4
1030,-230811,434.2
1031,-230483,440.2
1032,-230184,432.8
1033,-229894,429.3
1034,-229454,431.4
1035,-229259,428.8
1036,-228913,417.3
1037,-228571,456.2
1038,-228230,506.3333333
1039,-227927,474.3
1040,-227470,464.3
1041,-227310,472.5
1042,-226991,471.4
1043,-226642,489.5
1044,-226297,516.8
1045,-225938,490.5
1046,-225582,504.3
1047,-225235,502.6
1048,-224763,546.8
1049,-224587,547.0
1050,-224306,532.0
1051,-223956,555.9
1052,-222950,515.7
1053,-222737,496.1
1054,-222381,475.8
1055,-221918,504.15
1056,-221652,463.95
1057,-221316,489.2
1058,-220979,542.5
1059,-220629,519.1
1060,-220338,528.2
1061,-220034,503.6
1062,-219693,495.4
1063,-219373,500.7
1064,-219038,488.2
1065,-218728,490.9
1066,-218426,484.0
1067,-218114,476.5
1068,-217825,537.6
1069,-217542,507.6
1070,-217266,488.8
1071,-216997,469.4
1072,-216733,460.5
1073,-216475,495.4
1074,-216217,459.6
1075,-215816,452.7
1076,-215691,445.3
1077,-215456,451.9
1078,-215216,443.1
1079,-214989,454.4
1080,-214452,479.8
1081,-213964,456.9
1082,-213480,505.6666667
1083,-213015,568.6
1084,-212568,561.3333333
1085,-212102,590.7
1086,-211638,573.6666667
1087,-211179,573.2
1088,-210742,585.6666667
1089,-210311,583.0
1090,-209851,576.7
1091,-209400,593.2
1092,-208954,579.3333333
1093,-208528,558.3
1094,-208103,565.3333333
1095,-207662,547.9
1096,-207202,532.3333333
1097,-206762,511.0
1098,-206403,515.0
1099,-205835,504.4
1100,-205390,512.6
1101,-204902,499.2
1102,-204401,487.0
1103,-203931,505.5
1104,-203425,490.0
1105,-202936,487.7
1106,-202401,462.0
1107,-201846,493.0
1108,-201301,435.6666667
1109,-200725,489.4
1110,-200213,466.3
1111,-199708,541.3
1112,-199343,538.6666667
1113,-198791,529.7
1114,-198398,539.0
1115,-197400,627.3333333
1116,-196953,667.5
1117,-196515,609.3333333
1118,-196085,598.4
1119,-195632,579.4
1120,-195165,588.8
1121,-194666,564.3333333
1122,-194154,548.0
1123,-193655,534.0
1124,-193112,530.1
1125,-192550,487.6666667
1126,-191965,472.1
1127,-191329,493.3333333
1128,-190741,502.8
1129,-190150,511.9
1130,-189652,495.5
1131,-189120,471.0
1132,-188309,470.0
1133,-187650,432.3333333
1134,-187072,423.3
1135,-186546,425.0
1136,-185981,461.85
1137,-185465,446.0
1138,-184962,436.5
1139,-184255,447.2
1140,-183592,458.7
1141,-182905,475.6666667
1142,-182257,513.9
1143,-181766,532.0
1144,-180964,529.9
1145,-180323,527.6666667
1146,-179614,495.9
1147,-179069,496.3333333
1148,-178269,489.9
1149,-177626,451.9
1150,-176969,482.5
1151,-176470,479.3333333
1152,-175827,541.6
1153,-175301,550.3333333
1154,-174724,546.8
1155,-174079,499.0
1156,-173390,466.1
1157,-172788,471.3333333
1158,-172236,457.3
1159,-171683,427.3
1160,-171188,455.9
1161,-170480,433.0
1162,-169396,480.0
1163,-168816,484.2
1164,-168213,447.5
1165,-167602,442.3
1166,-167050,478.0
1167,-166542,444.9
1168,-166061,495.9
1169,-165539,495.3
1170,-164956,479.3333333
1171,-164359,449.3
1172,-163782,433.0
1173,-163198,423.8
1174,-162599,383.5
1175,-162023,392.9
1176,-161415,417.0
1177,-160896,410.9
1178,-160371,442.0
1179,-159839,413.0
1180,-159388,423.6666667
1181,-158660,410.1
1182,-158058,415.3333333
1183,-157526,406.9
1184,-157047,440.0
1185,-156569,407.2
1186,-156047,410.0
1187,-155480,400.2
1188,-154832,421.7
1189,-154208,399.2
1190,-153614,406.6666667
1191,-153071,384.5
1192,-152514,393.3333333
1193,-151972,402.6
1194,-151388,401.5
1195,-150831,413.0
1196,-150410,425.6666667
1197,-149764,422.0
1198,-149233,432.2
1199,-148698,400.1
1200,-148176,404.3333333
1201,-147685,441.2
1202,-147240,432.6666667
1203,-146632,427.8
1204,-146084,470.6666667
1205,-145559,423.4
1206,-145097,421.0
1207,-144482,409.8
1208,-144078,402.3
1209,-143448,390.9
1210,-142883,375.3333333
1211,-142352,400.875
1212,-141848,401.3333333
1213,-141259,385.1
1214,-140827,375.3333333
1215,-140216,368.1
1216,-139667,359.0
1217,-139124,349.1
1218,-138567,342.4
1219,-138021,357.7
1220,-137455,432.3333333
1221,-136919,367.6
1222,-136501,405.6666667
1223,-135868,394.9
1224,-135574,394.6666667
1225,-134855,375.0
1226,-134422,408.6666667
1227,-133852,381.5
1228,-133351,403.6
1229,-132850,415.1
1230,-132438,436.3333333
1231,-132034,427.5
1232,-131653,506.3333333
1233,-131289,448.8
1234,-130925,460.3333333
1235,-130596,461.7
1236,-130257,461.3333333
1237,-129955,455.8
1238,-129674,479.2
1239,-129401,494.1
1240,-129162,493.0
1241,-128924,487.1
1242,-128689,518.0
1243,-128459,521.2
1244,-128283,499.3333333
1245,-128060,512.1
1246,-127856,515.0
1247,-127678,531.0
1248,-127494,550.7
1249,-127323,551.5
1250,-127147,536.6666667
1251,-126971,534.5
1252,-126800,644.0
1253,-126635,725.5
1254,-126472,722.3333333
1255,-126320,703.6
1256,-126158,715.0
1257,-125982,706.0
1258,-125823,692.1
1259,-125687,678.8
1260,-125646,681.1
1261,-125471,677.0
1262,-125277,670.3
1263,-125080,646.0
1264,-124905,650.4
1265,-124728,651.3333333
1266,-124536,639.7
1267,-124321,659.6666667
1268,-124108,650.2
1269,-123914,657.875
1270,-123683,655.7
1271,-123486,646.6666667
1272,-123274,642.2
1273,-123070,641.6666667
1274,-122872,626.6
1275,-122703,632.0
1276,-122439,621.8
1277,-122243,621.3333333
1278,-122048,613.5
1279,-121850,611.1
1280,-121639,616.3
1281,-121438,615.0
1282,-121231,608.3
1283,-121052,606.8333333
1284,-120817,606.5
1285,-120605,599.0
1286,-120406,608.4
1287,-120210,607.3333333
1288,-119997,608.7
1289,-119791,603.2
1290,-119586,609.8
1291,-119384,613.0
1292,-119173,600.8
1293,-118964,598.0
1294,-118763,613.3
1295,-118546,590.6666667
1296,-118323,567.8
1297,-118119,575.6666667
1298,-117891,566.4
1299,-117679,571.2
