year,co2,ch4,temp
-11650,243.85979844717,0.0,-59.48
-11695,238.54747522687632,0.0,0.0
-11762,241.59139134507328,0.0,0.0
-11808,241.11490412197253,0.0,0.0
-11877,239.08435072354877,0.0,0.0
-11921,237.9515851667121,0.0,0.0
-11990,240.5703386445421,0.0,0.0
-12051,235.91958262522573,0.0,0.0
-12072,237.8687866200197,0.0,0.0
-12110,241.26916500368532,0.0,0.0
-12134,232.88000615516705,0.0,0.0
-12170,236.39805979670948,0.0,0.0
-12206,239.23818680138612,0.0,0.0
-12229,239.36064776017065,0.0,-57.93
-12255,238.3613364190683,0.0,0.0
-12287,236.59503531115416,0.0,0.0
-12323,240.21229536304708,0.0,0.0
-12348,239.03677680876376,0.0,0.0
-12358,235.8013722168602,0.0,0.0
-12393,242.07891889663432,0.0,0.0
-12404,238.39005888170095,0.0,0.0
-12424,240.3252352260465,0.0,0.0
-12460,242.5463915992586,0.0,0.0
-12472,242.6046029893104,0.0,0.0
-12493,240.9489026098227,0.0,0.0
-12513,238.61345734214723,0.0,0.0
-12547,242.05538663336657,0.0,0.0
-12570,241.1441164192452,0.0,-58.05
-12581,243.17377294839463,0.0,0.0
-12591,235.8323421305916,0.0,0.0
-12602,241.729807649943,0.0,0.0
-12613,239.85999766133676,0.0,0.0
-12625,239.76503812675872,0.0,0.0
-12636,237.9659544143376,0.0,0.0
-12645,235.30951417343596,0.0,0.0
-12656,237.58632963935628,0.0,0.0
-12669,237.970723841254,0.0,0.0
-12679,240.102021264826,0.0,0.0
-12695,238.11592408247537,0.0,0.0
-12702,234.62208303328032,0.0,0.0
-12714,233.41678590018037,0.0,0.0
-12725,234.33541847308945,0.0,0.0
-12736,237.4924390193572,0.0,0.0
-12746,228.9069484734525,0.0,0.0
-12756,228.1794674192821,0.0,0.0
-12768,230.5296191365043,0.0,0.0
-12780,234.53668908061692,0.0,0.0
-12793,231.47501430697423,0.0,-58.12
-12808,227.9025821178081,0.0,0.0
-12813,224.64412988292017,0.0,0.0
-12826,227.3927296719852,0.0,0.0
-12837,227.78536212593403,0.0,0.0
-12849,228.50250206425628,0.0,0.0
-12860,227.5760816830967,0.0,0.0
-12872,226.50690563613685,0.0,0.0
-12884,228.4041873231957,0.0,0.0
-12894,227.87363187172843,0.0,0.0
-12907,233.1674385645637,0.0,0.0
-12919,232.22123314488175,469.8641497,0.0
-12930,227.85150672131329,0.0,0.0
-12942,230.6301423785333,0.0,0.0
-12954,228.71528957073207,0.0,-60.02
-12965,228.3587950722309,0.0,0.0
-12979,228.46979297537328,0.0,0.0
-13003,228.890295544307,0.0,0.0
-13026,229.78672581367329,0.0,0.0
-13037,227.65098593922204,0.0,0.0
-13061,228.3650655244248,0.0,0.0
-13084,225.38083520649624,0.0,0.0
-13122,228.9948074515769,0.0,0.0
-13145,234.47446894840783,0.0,0.0
-13183,229.6716065699829,0.0,0.0
-13206,228.8057322422929,0.0,0.0
-13231,227.84358475209112,0.0,-59.66
-13268,230.18339813242304,0.0,0.0
-13293,228.26585961041695,0.0,0.0
-13330,225.77162913978188,0.0,0.0
-13370,227.64306095288396,0.0,0.0
-13395,228.9165200283857,0.0,0.0
-13432,225.38795165189697,0.0,0.0
-13460,224.74311624898783,0.0,0.0
-13512,223.2710402890986,0.0,0.0
-13596,223.5305343345643,0.0,0.0
-13699,222.75834505097237,0.0,0.0
-13754,222.1576434042996,0.0,0.0
-13817,224.8571801594681,0.0,0.0
-13894,222.36468715588023,441.2,0.0
-13970,223.5107392974745,0.0,0.0
-13986,223.7681909549173,0.0,0.0
-14045,223.7224506956352,0.0,0.0
-14048,224.4079901815647,0.0,0.0
-14064,222.39327867419095,0.0,0.0
-14083,224.4802221411913,0.0,0.0
-14133,224.242360124708,0.0,0.0
-14164,222.4115117516632,0.0,0.0
-14201,224.8625784974834,0.0,0.0
-14216,226.1908800011438,0.0,0.0
-14237,221.48984625503215,0.0,0.0
-14258,227.3244742360862,0.0,0.0
-14272,223.2363153157684,0.0,0.0
-14290,220.48517092637948,0.0,0.0
-14310,218.56382460975144,0.0,0.0
-14328,214.2212288682848,0.0,0.0
-14346,212.84367513227136,0.0,0.0
-14367,214.5978424508933,0.0,0.0
-14387,212.4297076897044,0.0,0.0
-14404,214.8309479320241,0.0,0.0
-14424,211.2133503062316,0.0,0.0
-14441,209.50810411665643,0.0,0.0
-14460,212.94888538923,0.0,0.0
-14481,211.7934498012063,0.0,0.0
-14508,217.18722610003744,0.0,0.0
-14522,213.9380167825644,0.0,0.0
-14559,207.9470733853761,0.0,0.0
-14603,208.65010901966775,0.0,0.0
-14640,208.4614276166706,0.0,0.0
-14705,213.15469236971649,0.0,0.0
-14783,210.24939480334604,0.0,0.0
-14847,205.5254887694144,0.0,0.0
-14919,205.18509194320177,0.0,0.0
-14978,202.9290476816134,0.0,0.0
-15044,204.3247383426767,0.0,0.0
-15141,202.1012164231453,0.0,0.0
-15213,198.631089252931,0.0,0.0
-15286,198.29417538469403,0.0,0.0
-15337,195.87573909141443,0.0,0.0
-15361,194.651413175494,0.0,0.0
-15410,190.50284337603904,0.0,0.0
-15435,193.02021337722056,0.0,0.0
-15460,191.8856673685563,0.0,0.0
-15484,190.75739808941375,0.0,0.0
-15510,193.00049226913703,0.0,0.0
-15535,191.4761142959414,0.0,0.0
-15560,191.5857343990861,0.0,0.0
-15584,192.37047527166976,0.0,0.0
-15611,192.6236483930915,0.0,0.0
-15636,196.9632882286796,0.0,-63.47
-15662,195.79039289658348,0.0,0.0
-15687,193.21020619774924,0.0,0.0
-15715,194.3760035369042,0.0,0.0
-15741,191.5189594499656,0.0,0.0
-15767,189.5231390515472,0.0,0.0
-15793,190.411456374954,0.0,0.0
-15819,191.7049630706334,0.0,0.0
-15847,187.25256339861124,0.0,0.0
-15875,191.20739896471937,0.0,0.0
-15904,189.51763426245728,0.0,0.0
-15930,190.2606131810841,0.0,0.0
-15957,191.7237910053392,0.0,0.0
-15985,188.54215704394005,0.0,0.0
-16015,188.6564989836098,0.0,0.0
-16042,188.9556833468375,0.0,0.0
-16074,187.78531136917945,0.0,0.0
-16100,187.7267726989902,0.0,0.0
-16131,188.64072093684447,0.0,0.0
-16160,188.59044595252615,0.0,0.0
-16189,184.87510819689115,0.0,0.0
-16223,189.0114574096496,0.0,-63.86
-16251,185.64837724764448,0.0,0.0
-16282,188.87750852438725,0.0,0.0
-16314,188.52153443206024,0.0,0.0
-16345,189.03208526365853,0.0,0.0
-16374,187.1210722823276,0.0,0.0
-16410,188.73157502184156,0.0,0.0
-16441,188.2127161368506,0.0,0.0
-16472,188.46984987600771,0.0,0.0
-16507,187.44688100668245,0.0,0.0
-16536,187.0879474951784,0.0,0.0
-16569,187.6657005045612,0.0,0.0
-16632,188.57060817148655,0.0,0.0
-16727,193.90294365325792,0.0,-63.52
-16797,191.2709926696737,0.0,0.0
-16853,192.9746062473733,0.0,0.0
-16885,188.43646889385016,0.0,0.0
-16916,188.49917580509657,0.0,0.0
-17043,192.7099140092297,0.0,0.0
-17202,191.0855048576497,0.0,0.0
-17332,191.584282023408,0.0,0.0
-17492,191.51661846127155,0.0,0.0
-17618,188.95303905155183,0.0,0.0
-17679,191.41876528996983,0.0,0.0
-17841,193.60063929670704,0.0,0.0
-17933,196.05515178135056,0.0,0.0
-18068,193.72302093582547,0.0,0.0
-18263,190.47301770392272,0.0,0.0
-18457,189.9902249511881,0.0,0.0
-18586,193.92595404672443,0.0,0.0
-18716,187.76130879373025,0.0,0.0
-18878,192.65750201107116,0.0,0.0
-19014,190.87078412905063,0.0,0.0
-19117,188.40117180397905,0.0,0.0
-19262,190.05178294941015,0.0,0.0
-19395,187.24278170075527,0.0,0.0
-19612,185.22605259203291,0.0,0.0
-19840,187.9571766507431,0.0,0.0
-19963,190.7825043804128,0.0,0.0
-20105,187.38113959770783,0.0,0.0
-20280,191.2705275530216,0.0,0.0
-20342,187.2242115241,0.0,0.0
-20397,187.0216472475,0.0,0.0
-20600,184.67921815,0.0,0.0
-20654,185.207494535,0.0,0.0
-20700,188.4866056205,0.0,0.0
-20799,190.0135889095,0.0,0.0
-20883,186.13368892427505,0.0,0.0
-21044,189.397339585125,0.0,0.0
-21063,190.53007546182505,0.0,-62.93
-21157,190.08050149462505,0.0,0.0
-21235,188.6041093398,0.0,0.0
-21326,197.67188495835,0.0,0.0
-21408,193.532820435975,0.0,0.0
-21495,186.77935625475,0.0,0.0
-21650,187.985359152,0.0,0.0
-21923,183.12944747075,0.0,0.0
-22127,184.6823772,0.0,0.0
-22319,186.726894870075,0.0,0.0
-22693,180.565516782075,0.0,0.0
