year,co2
-13395,228.91652002838566
-13432,225.38795165189697
-13460,224.74311624898786
-13512,223.2710402890986
-13596,223.5305343345643
-13699,222.75834505097234
-13754,222.15764340429956
-13817,224.8571801594681
-13894,222.36468715588023
-13970,223.5107392974745
-13986,223.7681909549173
-14045,223.7224506956352
-14048,224.4079901815647
-14064,222.39327867419098
-14083,224.4802221411913
-14133,224.242360124708
-14164,222.4115117516632
-14201,224.8625784974834
-14216,226.1908800011438
-14237,221.48984625503218
-14258,227.3244742360862
-14272,223.23631531576837
-14290,220.48517092637948
-14310,218.56382460975144
-14328,214.22122886828478
-14346,212.84367513227136
-14367,214.5978424508933
-14387,212.42970768970437
-14404,214.83094793202406
-14424,211.2133503062316
-14441,209.50810411665645
-14460,212.94888538922996
-14481,211.7934498012063
-14508,217.18722610003746
-14522,213.9380167825644
-14559,207.94707338537606
-14603,208.65010901966778
-14640,208.4614276166706
-14705,213.15469236971649
-14783,210.24939480334604
-14847,205.52548876941438
-14919,205.18509194320177
-14978,202.9290476816134
-15044,204.3247383426767
-15141,202.1012164231453
-15213,198.631089252931
-15286,198.29417538469403
-15337,195.87573909141443
-15361,194.65141317549399
-15410,190.50284337603904
-15435,193.02021337722056
-15460,191.8856673685563
-15484,190.75739808941378
-15510,193.00049226913703
-15535,191.4761142959414
-15560,191.58573439908614
-15584,192.37047527166976
-15611,192.6236483930915
-15636,196.96328822867957
-15662,195.79039289658348
-15687,193.21020619774924
-15715,194.3760035369042
-15741,191.51895944996556
-15767,189.52313905154722
-15793,190.41145637495399
-15819,191.7049630706334
-15847,187.25256339861124
-15875,191.20739896471937
-15904,189.51763426245728
-15930,190.2606131810841
-15957,191.7237910053392
-15985,188.54215704394005
-16015,188.6564989836098
-16042,188.9556833468375
-16074,187.78531136917942
-16100,187.7267726989902
-16131,188.64072093684447
-16160,188.59044595252618
-16189,184.87510819689115
-16223,189.01145740964958
-16251,185.64837724764448
-16282,188.87750852438725
-16314,188.52153443206024
-16345,189.03208526365853
-16374,187.12107228232756
-16410,188.73157502184154
-16441,188.2127161368506
-16472,188.46984987600774
-16507,187.44688100668245
-16536,187.08794749517838
-16569,187.6657005045612
-16632,188.57060817148658
-16727,193.90294365325792
-16797,191.27099266967372
-16853,192.9746062473733
-16885,188.43646889385016
-16916,188.49917580509657
-17043,192.7099140092297
-17202,191.08550485764974
-17332,191.58428202340798
-17492,191.51661846127155
-17618,188.95303905155185
-17679,191.41876528996985
-17841,193.60063929670704
-17933,196.05515178135056
-18068,193.72302093582547
-18263,190.47301770392272
-18457,189.99022495118814
-18586,193.92595404672443
-18716,187.76130879373025
-18878,192.65750201107113
-19014,190.87078412905063
-19117,188.40117180397905
-19262,190.05178294941018
-19395,187.24278170075527
-19612,185.22605259203294
-19840,187.9571766507431
-19963,190.7825043804128
-20105,187.38113959770786
-20280,191.27052755302162
-20342,187.2242115241
-20397,187.0216472475
-20600,184.67921815
-20654,185.207494535
-20700,188.4866056205
-20799,190.01358890950002
-20883,186.13368892427502
-21044,189.397339585125
-21063,190.53007546182502
-21157,190.08050149462503
-21235,188.6041093398
-21326,197.67188495834998
-21408,193.532820435975
-21495,186.77935625474998
-21650,187.98535915199997
-21923,183.12944747075
-22127,184.6823772
-22319,186.726894870075
-22693,180.565516782075
-23213,180.69369987574999
-23401,182.66041686875002
-23593,183.37891829900002
-23836,186.541161542
-24066,184.51815170625
-24304,184.57168235580002
-24365,183.7673068405
-24510,186.0128248
-24587,185.5131813934
-24753,185.43660435787498
-24907,186.43114764435
-25004,188.08462820879998
-25092,187.3935686286
-25134,186.271358966325
-25220,194.928153007
-25330,190.0614572262
-25491,191.95313370887501
-25552,191.23379793375
-25599,191.5337587855875
-25636,191.95350057714998
-25711,191.46001174245
-25737,192.712370759625
-25764,190.6078690615
-25768,189.304523923175
-25870,187.586392521325
-25916,190.5849616488
-25935,189.27849064935
-25977,188.98634898427503
-26023,189.286787345625
-26147,189.95757968037498
-26264,191.816137593
-26321,191.59419376510002
-26419,192.63389865615
-26463,189.156744422
-26476,189.6458701976
-26627,193.10010418009998
-26676,192.8154242622
-26774,193.80250764615002
-26891,193.8897968002
-26952,192.68758991725
-26998,193.25940327540002
-27058,192.8724796734
-27200,192.26433856792502
-27255,188.0966829643
-27299,192.39141674277
-27373,191.0119519104
-27416,189.82870639425
-27460,189.2132558424
-27659,189.24251845
-27731,189.77280474485
-27792,191.28441196185
-27887,190.9669244527
-28002,191.375496743275
-28049,191.5673410079
-28151,188.2467783878
-28231,188.475316491
-28327,186.51738769949998
-28362,185.98864642130002
-28450,184.2981804458
-28578,182.936081584225
-28762,187.14328122450002
-28825,190.33222284570002
-29155,187.999563507075
-29406,188.4753253155
-29574,189.94686495800002
-29842,193.71283854975002
-29868,192.9276430365
-29983,192.507154839675
-30076,193.3257604058
-30129,193.90502757875
-30197,196.41665588339998
-30200,196.9080549903
-30357,192.46518778166669
-30411,195.247244775875
-30484,194.110429478875
-30561,194.60682974099998
-30644,194.4295742917
-30727,195.08012700165003
-30764,195.93861278715002
-30863,199.302319209275
-30930,196.70181603277499
-31059,196.32609642975
-31198,197.646004846875
-31467,196.89622890765
-31541,197.12526326695
-31605,197.79975641045
-31808,200.03106638475
-31891,195.627148340675
-31935,195.2662323655
-31957,194.46060405395
-31975,194.47027317217498
-32007,196.47191999325
-32041,195.41091567172498
-32114,195.93175875274997
-32240,194.8874767012333
-32300,195.7913334535
-32362,196.266613322
-32384,196.20185201500001
-32606,199.6474818549
-32652,199.48892963999998
-32670,200.2924224414
-32697,198.89171239745002
-32760,197.16130487224999
-32875,202.795646976
-32916,203.0917776366
-33139,198.7828307793
-33215,203.60050857025
-33331,205.3761847385
-33387,204.46706210535
-33409,203.6185257355
-33433,201.35769286432503
-33495,200.29875552115
-33547,201.06305549865002
-33558,202.04126672700002
-33580,201.88660042935
-33617,201.8276293501
-33722,201.81310262977502
-33751,200.5019756069
-33904,203.28865874520002
-33998,198.799944457875
-34136,204.123014498
-34223,201.7797825328
-34311,200.09164615275
-34556,198.9617645275
-34641,205.10239260525
-34719,203.76951759
-34762,203.7543230524
-34870,202.76033458287498
-34989,203.514345808
-35073,206.3568576216
-35168,210.157174784
-35193,207.34584681975
-35346,208.25190909
-35352,209.65639176
-35388,206.586570978
-35481,212.50552869749998
-35511,209.83667782650002
-35668,214.29589900083332
-35697,212.135905967
-35827,212.09241359079002
-35945,214.2064208262
-36050,211.213425214
-36138,214.36039257750002
-36215,208.335059710425
-36242,206.5229252229
-36334,207.41115700100002
-36409,207.99977968
-36462,210.7947524055
-36522,207.2301825856
-36583,210.07869060075
-36623,208.23327262075
-36671,204.79190564040002
-36720,204.455553872625
-36773,206.543994036
-36862,206.085787558
-36924,205.650989878
-37005,205.98808959113333
-37026,202.3448524395
-37103,204.28298891580002
