year,ch4
-223956,555.9
-222950,515.7
-222737,496.1
-222381,475.8
-221918,504.15
-221652,463.95
-221316,489.2
-220979,542.5
-220629,519.1
-220338,528.2
-220034,503.6
-219693,495.4
-219373,500.7
-219038,488.2
-218728,490.9
-218426,484.0
-218114,476.5
-217825,537.6
-217542,507.6
-217266,488.8
-216997,469.4
-216733,460.5
-216475,495.4
-216217,459.6
-215816,452.7
-215691,445.3
-215456,451.9
-215216,443.1
-214989,454.4
-214452,479.8
-213964,456.9
-213480,505.6666667
-213015,568.6
-212568,561.3333333
-212102,590.7
-211638,573.6666667
-211179,573.2
-210742,585.6666667
-210311,583.0
-209851,576.7
-209400,593.2
-208954,579.3333333
-208528,558.3
-208103,565.3333333
-207662,547.9
-207202,532.3333333
-206762,511.0
-206403,515.0
-205835,504.4
-205390,512.6
-204902,499.2
-204401,487.0
-203931,505.5
-203425,490.0
-202936,487.7
-202401,462.0
-201846,493.0
-201301,435.6666667
-200725,489.4
-200213,466.3
-199708,541.3
-199343,538.6666667
-198791,529.7
-198398,539.0
-197400,627.3333333
-196953,667.5
-196515,609.3333333
-196085,598.4
-195632,579.4
-195165,588.8
-194666,564.3333333
-194154,548.0
-193655,534.0
-193112,530.1
-192550,487.6666667
-191965,472.1
-191329,493.3333333
-190741,502.8
-190150,511.9
-189652,495.5
-189120,471.0
-188309,470.0
-187650,432.3333333
-187072,423.3
-186546,425.0
-185981,461.85
-185465,446.0
-184962,436.5
-184255,447.2
-183592,458.7
-182905,475.6666667
-182257,513.9
-181766,532.0
-180964,529.9
-180323,527.6666667
-179614,495.9
-179069,496.3333333
-178269,489.9
-177626,451.9
-176969,482.5
-176470,479.3333333
-175827,541.6
-175301,550.3333333
-174724,546.8
-174079,499.0
-173390,466.1
-172788,471.3333333
-172236,457.3
-171683,427.3
-171188,455.9
-170480,433.0
-169396,480.0
-168816,484.2
-168213,447.5
-167602,442.3
-167050,478.0
-166542,444.9
-166061,495.9
-165539,495.3
-164956,479.3333333
-164359,449.3
-163782,433.0
-163198,423.8
-162599,383.5
-162023,392.9
-161415,417.0
-160896,410.9
-160371,442.0
-159839,413.0
-159388,423.6666667
-158660,410.1
-158058,415.3333333
-157526,406.9
-157047,440.0
-156569,407.2
-156047,410.0
-155480,400.2
-154832,421.7
-154208,399.2
-153614,406.6666667
-153071,384.5
-152514,393.3333333
-151972,402.6
-151388,401.5
-150831,413.0
-150410,425.6666667
-149764,422.0
-149233,432.2
-148698,400.1
-148176,404.3333333
-147685,441.2
-147240,432.6666667
-146632,427.8
-146084,470.6666667
-145559,423.4
-145097,421.0
-144482,409.8
-144078,402.3
-143448,390.9
-142883,375.3333333
-142352,400.875
-141848,401.3333333
-141259,385.1
-140827,375.3333333
-140216,368.1
-139667,359.0
-139124,349.1
-138567,342.4
-138021,357.7
-137455,432.3333333
-136919,367.6
-136501,405.6666667
-135868,394.9
-135574,394.6666667
-134855,375.0
-134422,408.6666667
-133852,381.5
-133351,403.6
-132850,415.1
-132438,436.3333333
-132034,427.5
-131653,506.3333333
-131289,448.8
-130925,460.3333333
-130596,461.7
-130257,461.3333333
-129955,455.8
-129674,479.2
-129401,494.1
-129162,493.0
-128924,487.1
-128689,518.0
-128459,521.2
-128283,499.3333333
-128060,512.1
-127856,515.0
-127678,531.0
-127494,550.7
-127323,551.5
-127147,536.6666667
-126971,534.5
-126800,644.0
-126635,725.5
-126472,722.3333333
-126320,703.6
-126158,715.0
-125982,706.0
-125823,692.1
-125687,678.8
-125646,681.1
-125471,677.0
-125277,670.3
-125080,646.0
-124905,650.4
-124728,651.3333333
-124536,639.7
-124321,659.6666667
-124108,650.2
-123914,657.875
-123683,655.7
-123486,646.6666667
-123274,642.2
-123070,641.6666667
-122872,626.6
-122703,632.0
-122439,621.8
-122243,621.3333333
-122048,613.5
-121850,611.1
-121639,616.3
-121438,615.0
-121231,608.3
-121052,606.8333333
-120817,606.5
-120605,599.0
-120406,608.4
-120210,607.3333333
-119997,608.7
-119791,603.2
-119586,609.8
-119384,613.0
-119173,600.8
-118964,598.0
-118763,613.3
-118546,590.6666667
-118323,567.8
-118119,575.6666667
-117891,566.4
-117679,571.2
-117462,566.5
-117290,590.6666667
-117013,578.5
-116793,577.6666667
-116559,565.4
-116319,578.6666667
-116085,544.7
-115865,548.0
-115390,546.2
-115145,533.3
-114892,543.6666667
-114649,528.0
-114388,504.3333333
-114122,495.1
-113862,501.0
-113586,496.0
-113315,501.3333333
-113052,472.2
-112778,473.6
-112506,473.1
-111937,470.7
-111646,470.6666667
-111383,451.0
-111002,466.6666667
-110683,463.55
-110360,455.0
-110035,455.5
-109699,474.3
-109359,472.7
-109032,496.3333333
-108719,491.7
