year,co2,ch4,temp
-104701,,,-58.22
-104753,,,-58.65
-104808,,,-59.67
-104867,,,-59.33
-104926,,,-59.13
-104983,,,-58.53
-105037,,,-59.32
-105095,,,-58.79
-105152,,,-59.5
-105211,,,-59.82
-105272,,,-59.56
-105333,,,-59.37
-105392,,,-60.33
-105456,,,-59.53
-105517,,,-60.02
-105579,,,-59.41
-105639,,,-60.08
-105703,,,-60.13
-105767,,,-60.04
-105831,,,-60.75
-105898,,,-60.73
-105967,,,-60.89
-106035,,,-60.96
-106105,,,-60.88
-106174,,,-61.02
-106245,,,-61.31
-106317,,,-61.39
-106390,,,-62.01
-106466,,,-60.86
-106537,,,-61.47
-106610,,,-61.03
-106682,,,-61.38
-106755,,,-60.86
-106826,,,-61.69
-106900,,,-60.93
-106972,,,-60.96
-107043,,,-62.24
-107121,,,-60.81
-107193,,,-60.31
-107260,,,-60.75
-107330,,,-60.58
-107398,,,-59.89
-107466,,,-61.54
-107539,,,-60.31
-107607,,,-60.12
-107673,,,-60.08
-107740,,,-60.11
-107806,,,-59.91
-107871,,,-59.51
-107935,,,-61.12
-108007,,,-60.17
-108074,,,-58.75
-108134,,,-59.85
-108201,,,-60.92
-108271,,,-60.12
-108340,,,-60.08
-108406,,,-58.97
-108468,,,-59.62
-108532,,,-59.77
-108597,,,-59.76
-108663,,,-60.07
-108731,,,-59.91
-108797,,,-59.28
-108861,,,-59.79
-108926,,,-59.3
-108990,,,-59.43
-109054,,,-59.95
-109121,,,-59.5
-109186,,,-59.46
-109250,,,-58.62
-109312,,,-60.23
-109380,,,-60.27
-109449,,,-59.19
-109514,,,-59.91
-109581,,,-59.69
-109647,,,-58.94
-109711,,,-59.93
-109778,,,-59.97
-109847,,,-59.75
-109914,,,-59.68
-109981,,,-59.33
-110047,,,-59.88
-110115,,,-60.12
-110185,,,-58.98
-110248,,,-59.1
-110313,,,-59.64
-110380,,,-60.13
-110449,,,-59.1
-110514,,,-58.65
-110576,,,-59.57
-110642,,,-58.52
-110703,,,-58.32
-110764,,,-58.86
-110827,,,-59.27
-110892,,,-59.14
-110957,,,-58.99
-111021,,,-58.59
-111083,,,-58.6
-111146,,,-59.58
-111211,,,-57.71
-111271,,,-58.14
-111331,,,-58.48
-111392,,,-58.03
-111452,,,-58.85
-111516,,,-59.12
-111581,,,-58.23
-111642,,,-57.92
-111702,,,-59.19
-111765,,,-57.76
-111825,,,-57.56
-111882,,,-57.32
-111938,,,-57.68
-111996,,,-57.53
-112053,,,-57.33
-112110,,,-57.37
-112165,,,-56.51
-112219,,,-57.64
-112276,,,-57.46
-112333,,,-57.58
-112391,,,-57.05
-112447,,,-56.52
-112502,,,-57.59
-112559,,,-57.81
-112618,,,-57.77
-112677,,,-57.19
-112734,,,-56.92
-112790,,,-56.13
